Chi-Square	54.4587
Diameter	1600
Pv Albedo	0.0507703
Thermal Inertia	130
Roughness	0
H Value	17.833
G Value	-0.041
Phase Offset	1863
FCF	0.996667
924	4.00133e-16	2.45011
1450	1.43997e-15	1.13832
1737	1.60483e-15	1.06478
2312	1.52514e-15	1.00017
2887	1.46452e-15	0.00108626
537	1.62769e-15	0.592245
1112	1.35944e-15	0.359159
924	5.21162e-16	0.197944
924	5.21162e-16	0.73305
1499	4.95052e-16	1.047
1162	1.46092e-15	0.834303
1499	4.95052e-16	0.525256
2650	5.13493e-16	0.252027
300	5.37477e-16	0.219099
587	5.42595e-16	0.474069
875	5.34144e-16	0.628408
1162	4.99254e-16	0.022616
1450	4.84599e-16	0.689701
1737	5.36065e-16	0.895738
2312	5.22563e-16	0.113515
2887	4.9213e-16	0.874186
2074	5.42779e-16	0.255628
875	1.58679e-15	0.338073
587	1.62631e-15	0.741611
300	1.61285e-15	0.682339
924	4.00133e-16	0.355874
1499	4.21871e-16	1.91012
1499	4.21871e-16	1.0429
2074	4.45098e-16	0.401877
2650	3.99233e-16	0.0215398
300	4.45398e-16	0.551486
587	4.47113e-16	1.04934
875	4.28774e-16	2.3453
1162	4.02698e-16	2.92869
1450	3.98012e-16	2.58865
1737	4.40563e-16	1.89181
2312	3.96942e-16	0.190103
2887	3.93704e-16	0.00690732
537	4.48684e-16	0.830547
1112	3.56629e-16	0.320811
924	1.52682e-15	0.615409
924	1.52682e-15	0.876488
1499	1.49484e-15	1.71008
1499	1.49484e-15	0.554053
2074	1.62501e-15	0.134757
2650	1.50639e-15	0.636308
537	5.42599e-16	0.50526
1112	4.80464e-16	1.11624
