Chi-Square	470.474
Diameter	1550
Pv Albedo	0.0540987
Thermal Inertia	140
Roughness	0.3
H Value	17.833
G Value	-0.041
Phase Offset	1863
FCF	0.993285
924	4.18486e-16	3.58708
1450	1.40742e-15	0.64779
1737	1.5602e-15	0.447928
2312	1.49394e-15	0.550372
2887	1.42768e-15	0.525561
537	1.58384e-15	0.0264261
1112	1.3446e-15	0.132452
924	5.0187e-16	0.736362
924	5.0187e-16	1.16149
1499	4.75208e-16	1.59592
1162	1.42873e-15	1.27845
1499	4.75208e-16	1.03444
2650	4.94035e-16	0.23114
300	5.15755e-16	0.328359
587	5.20954e-16	1.0385
875	5.1356e-16	0.0616304
1162	4.82064e-16	0.517848
1450	4.66814e-16	0.22766
1737	5.14404e-16	0.290753
2312	5.03928e-16	0.39245
2887	4.72988e-16	1.4003
2074	5.21148e-16	0.815484
875	1.54763e-15	0.184907
587	1.58291e-15	1.28189
300	1.56829e-15	0.0994278
924	4.18486e-16	0.620277
1499	4.32592e-16	1.39112
1499	4.32592e-16	0.492667
2074	4.59998e-16	0.344138
2650	4.11866e-16	0.763548
300	4.5881e-16	1.27347
587	4.6208e-16	0.260965
875	4.44798e-16	1.55781
1162	4.14466e-16	2.3728
1450	4.10549e-16	3.36162
1737	4.53295e-16	2.56089
2312	4.12344e-16	1.1056
2887	4.06698e-16	0.779391
537	4.63417e-16	0.0509324
1112	3.71717e-16	1.26202
924	1.49289e-15	1.04866
924	1.49289e-15	1.32914
1499	1.45259e-15	2.24307
1499	1.45259e-15	1.12778
2074	1.58177e-15	0.430801
2650	1.46905e-15	0.11073
537	5.20863e-16	0.0110123
1112	4.66958e-16	0.698553
91	3.11744e-16	1.23419
666	3.22955e-16	2.99955
1241	3.2761e-16	0.031537
2391	3.3076e-16	1.82393
2678	2.87076e-16	1.13005
41	2.91468e-16	0.758614
328	2.8799e-16	0.930267
615	3.17378e-16	0.0819833
616	3.17471e-16	3.38822
903	3.36962e-16	0.637812
1478	2.66668e-16	1.6855
2053	3.25686e-16	0.0411643
2628	3.26359e-16	1.40373
278	2.87936e-16	0.153267
424	9.72174e-17	0.00779454
992	7.60976e-17	1.88969
1560	9.74606e-17	0.571599
1560	9.74606e-17	0.343732
2128	8.29541e-17	1.89221
965	1.0946e-16	0.839821
2423	1.24794e-16	2.75517
2707	1.31671e-16	1.38286
65	1.44282e-16	0.712235
350	1.45739e-16	0.330479
634	1.2992e-16	2.34836
918	1.19018e-16	2.54692
1487	1.46063e-16	1.595
2138	1.24687e-16	0.507086
2055	1.24459e-16	0.783159
2623	1.24223e-16	1.27017
835	1.36587e-16	1.16237
1404	1.44379e-16	0.789745
1972	1.24931e-16	0.876406
2540	1.24612e-16	2.08791
183	1.4724e-16	2.18159
752	1.21762e-16	3.05513
2055	1.24459e-16	2.24021
1570	1.44729e-16	2.29241
1570	1.44729e-16	1.87944
1286	1.41341e-16	1.75455
1535	1.45813e-16	2.20671
2672	1.27364e-16	1.1309
315	1.46345e-16	2.2797
884	1.28998e-16	0.0461678
1452	1.4569e-16	1.36313
2020	1.24196e-16	1.62155
2589	1.24347e-16	0.239392
232	1.47252e-16	3.19363
1369	1.43278e-16	2.03332
1937	1.34893e-16	2.33655
2221	1.24822e-16	2.32774
2505	1.24788e-16	3.05105
2790	1.37862e-16	1.50814
149	1.46854e-16	1.80454
433	1.44488e-16	1.94636
717	1.17134e-16	0.688023
1320	1.41938e-16	0.1427
2455	1.24937e-16	2.02093
2364	2.85531e-16	3.00275
1781	3.06349e-16	3.90922
1212	3.2508e-16	0.684454
1864	2.83814e-16	1.563
1296	3.30387e-16	2.36825
727	3.1012e-16	4.83197
1379	3.33264e-16	0.862479
811	2.67967e-16	5.40192
810	2.68515e-16	5.05152
243	3.3021e-16	0.260646
2031	2.87719e-16	4.43905
894	2.61009e-16	0.223133
2114	3.08963e-16	0.236906
1546	3.24922e-16	0.932893
978	3.05173e-16	0.316538
409	3.18197e-16	2.73698
2198	2.93336e-16	1.42767
1061	3.19338e-16	7.70234
492	2.91235e-16	3.07637
2849	3.28373e-16	3.55846
2281	2.84812e-16	0.999615
1713	3.29313e-16	0.356891
576	2.84665e-16	1.70448
8	3.34041e-16	0.394959
2834	3.27387e-16	0.101193
1045	3.18808e-16	0.453208
