Chi-Square	90.4548
Diameter	1580
Pv Albedo	0.0520638
Thermal Inertia	150
Roughness	0.2
H Value	17.833
G Value	-0.041
Phase Offset	1863
FCF	0.994807
924	4.07345e-16	2.99315
1450	1.4329e-15	1.00837
1737	1.59102e-15	0.840975
2312	1.52303e-15	0.919204
2887	1.4551e-15	0.199521
537	1.61561e-15	0.355784
1112	1.36759e-15	0.387214
924	5.16967e-16	0.255382
924	5.16967e-16	0.777388
1499	4.89147e-16	1.16586
1162	1.45545e-15	0.923556
1499	4.89147e-16	0.635662
2650	5.08644e-16	0.149686
300	5.31246e-16	0.0697912
587	5.36636e-16	0.627288
875	5.28988e-16	0.482624
1162	4.96309e-16	0.117239
1450	4.80338e-16	0.565679
1737	5.29801e-16	0.698907
2312	5.18997e-16	0.0158793
2887	4.86982e-16	1.05823
2074	5.36845e-16	0.376752
875	1.57836e-15	0.219854
587	1.61465e-15	0.883561
300	1.59954e-15	0.520189
924	4.07345e-16	0.116461
1499	4.22142e-16	1.82792
1499	4.22142e-16	0.957724
2074	4.48908e-16	0.158927
2650	4.01037e-16	0.161217
300	4.47888e-16	0.699256
587	4.5107e-16	0.837183
875	4.33748e-16	2.10687
1162	4.03891e-16	2.8866
1450	3.99889e-16	2.67921
1737	4.4234e-16	1.95215
2312	4.01456e-16	0.403848
2887	3.96345e-16	0.0910632
537	4.5243e-16	0.726553
1112	3.6084e-16	0.480642
924	1.52227e-15	0.593162
924	1.52227e-15	0.853426
1499	1.48009e-15	1.83545
1499	1.48009e-15	0.689654
2074	1.61347e-15	0.0325755
2650	1.49681e-15	0.531717
537	5.3654e-16	0.312589
1112	4.8042e-16	1.04791
91	3.14441e-16	1.05802
666	3.25227e-16	3.17023
1241	3.30769e-16	0.233726
2391	3.33669e-16	2.02408
2678	2.89403e-16	0.974683
41	2.9364e-16	0.88616
328	2.90551e-16	1.10349
615	3.1909e-16	0.0254119
616	3.19177e-16	3.29029
903	3.39959e-16	0.451227
1478	2.66916e-16	1.66905
2053	3.28088e-16	0.186739
2628	3.30084e-16	1.62557
278	2.90516e-16	0.33388
